№;Элементы интерфейса;Роль;навзвание действия;Вводные данные;Ожидание результатов;Результат;Коментарии
4.4.2.21;;Пользователь;сохранение   Creating News;"все поля заполниные с Description= ""aaasdawd""";создается;прошел;
4.4.2.22;;Пользователь;сохранение   Creating News;"все поля заполниные с Description= ""!!A@""";создается;прошел;
4.4.2.23;;Пользователь;сохранение   Creating News;все поля заполниные с Description= (255 символов);создается;прошел;
4.4.2.24;;Пользователь;сохранение   Creating News;"все поля заполниные с Description= ""      """;создается;прошел;
4.4.2.25;;Пользователь;сохранение   Creating News;все поля заполниные с Description= NULL(def значения);создается;прошел;
4.4.2.26;;Пользователь;сохранение   Creating News;все поля заполниные с Active= true;создается;прошел;
4.4.2.27;;Пользователь;отмена сохронения News;все поля заполниные ;не создает;прошел;
4.4.3.;"окно ""Editing News""";;;;;;
4.4.3.1;;Пользователь;редактирование   News;все поля пустые;не изменяется;прошел;
4.4.3.2;;Пользователь;редактирование   News;все поля заполниные;изменяется;прошел;
4.4.3.3;;Пользователь;редактирование   News;все поля заполниные с category= war;"ошибка ""не удается сохранить в выбраной категории""";прошел;
4.4.3.4;;Пользователь;редактирование   News;все поля заполниные с category= Объявление ;изменяется;прошел;
4.4.3.5;;Пользователь;редактирование   News;все поля заполниные с category= не заполненой;"появляется надпись ""Fill emply Fields"" ";прошел;
4.4.3.6;;Пользователь;редактирование   News;все поля заполниные с title= не заполненой;"появляется надпись ""Fill emply Fields"" ";прошел;
4.4.3.7;;Пользователь;редактирование   News;"все поля заполниные с title= ""aaasdawd""";изменяется;прошел;
4.4.3.8;;Пользователь;редактирование   News;"все поля заполниные с title= ""!!A@""";изменяется;прошел;
4.4.3.9;;Пользователь;редактирование   News;все поля заполниные с title= (255 символов);изменяется;прошел;
4.4.3.10;;Пользователь;редактирование   News;"все поля заполниные с title= ""      """;"появляется надпись ""Fill emply Fields"" ";прошел;
4.4.3.11;;Пользователь;редактирование   News;все поля заполниные с title= NULL(def значения);изменяется;прошел;
4.4.3.12;;Пользователь;редактирование   News;"все поля заполниные с Publication data= ""      """;ошибка;не прошел;
4.4.3.13;;Пользователь;редактирование   News;все поля заполниные с Publication data= действущая;изменяется;прошел;
4.4.3.14;;Пользователь;редактирование   News;все поля заполниные с Publication data= из будущего;изменяется;прошел;
4.4.3.15;;Пользователь;редактирование   News;все поля заполниные с Publication data= из прошлого;изменяется;прошел;
